Cl35 	32564.6 	0.094835  1  2826.78  3033
Cl35 	32564.6 	0.10006  1  -536.239  8177
Cl37 	34424.8 	0.211197  1  -4930.06  14636
Na23 	21409.2 	0.128363  1  3661.49  1896
Cl35 	32564.6 	0.0815876  1  -1513.85  9633
Na23 	21409.2 	0.177075  1  -3290.71  12253
proton 	938.272 	147.708  1  3603.83  2064
proton 	938.272 	101.673  1  3603.83  2066
proton 	938.272 	3.31786  1  3603.83  2069
O16 	14895.1 	7.03409  1  3603.83  2071
Cl37 	34424.8 	0.0787407  1  940.602  5758
Na23 	21409.2 	0.10246  1  -322.372  7639
Na23 	21409.2 	0.257308  1  4067.75  1307
Na23 	21409.2 	0.134103  1  3983.98  1457
Na23 	21409.2 	0.109836  1  4998.21  3
Cl35 	32564.6 	0.121261  1  207.675  6998
Cl35 	32564.6 	0.0991962  1  4875.65  181
Na23 	21409.2 	0.353816  1  4125.8  1280
Na23 	21409.2 	0.141397  1  2486.63  3769
Na23 	21409.2 	0.110109  1  -1165.98  9111
Cl35 	32564.6 	0.197116  1  -315.282  7699
Cl35 	32564.6 	0.17302  1  -3932.56  12996
Cl35 	32564.6 	0.13177  1  3201.1  2650
Cl35 	32564.6 	0.0683616  1  2158.67  4159
Na23 	21409.2 	0.136479  1  3824.42  1696
proton 	938.272 	61.9244  1  3295.83  2393
proton 	938.272 	28.7834  1  3295.83  2394
P31 	28844.2 	1.73728  1  3295.83  2395
Cl37 	34424.8 	0.151294  1  -1867.96  10010
Cl37 	34424.8 	0.0702839  1  4301.19  994
proton 	938.272 	37.9711  1  -292.957  7669
Na23 	21409.2 	13.088  1  -292.957  7670
proton 	938.272 	8.44281  1  -292.957  7672
proton 	938.272 	3.83441  1  -292.957  7675
proton 	938.272 	13.9472  1  -292.957  7676
Na23 	21409.2 	1.72092  1  -2732.56  11279
Cl35 	32564.6 	0.0791494  1  -3037.44  11718
Na23 	21409.2 	0.608374  1  1054.01  5711
Cl35 	32564.6 	0.142846  1  -2529  10979
Cl35 	32564.6 	0.0932785  1  1197.01  5538
Cl35 	32564.6 	0.148631  1  2552.57  3586
Na23 	21409.2 	0.211465  1  1960.43  4467
Na23 	21409.2 	0.208497  1  4193.96  1122
Na23 	21409.2 	0.363736  1  -615.884  8093
proton 	938.272 	2.50878  1  -4843.66  14429
Ne20 	18617.7 	0.637634  1  -4843.66  14431
Cl35 	32564.6 	0.0902899  1  3758.31  1834
Na23 	21409.2 	0.164376  1  -2535.77  10894
proton 	938.272 	77.6007  1  -1878.55  10063
proton 	938.272 	37.2961  1  -1878.55  10065
proton 	938.272 	24.6359  1  -1878.55  10066
Si28 	26053.2 	3.63442  1  -1878.55  10077
Cl35 	32564.6 	0.208578  1  4981.78  26
Cl37 	34424.8 	0.11007  1  1783.83  4885
Na23 	21409.2 	0.38585  1  -4829.12  14370
Cl37 	34424.8 	0.125199  1  -1952.6  10221
Cl35 	32564.6 	0.0909897  1  4370.14  911
Cl35 	32564.6 	0.0960734  1  2251.55  3972
Cl37 	34424.8 	0.0692453  1  875.64  5895
Cl35 	32564.6 	0.156076  1  -1837.69  10093
Na23 	21409.2 	0.103077  1  3131.62  2729
Cl35 	32564.6 	0.185173  1  1707.41  4748
Na23 	21409.2 	0.128983  1  -4650.95  14276
Cl35 	32564.6 	0.0873044  1  2327.88  3895
Cl35 	32564.6 	0.516157  1  2591.4  3518
Cl37 	34424.8 	0.217397  1  2004.52  4399
Na23 	21409.2 	0.10372  1  549.416  6552
proton 	938.272 	100.453  1  -3382.95  12359
proton 	938.272 	97.169  1  -3382.95  12360
P33 	30705.3 	3.02523  1  -3382.95  12363
proton 	938.272 	1277.15  1  3303.92  2518
proton 	938.272 	55.5462  1  3303.92  2523
P32 	29775.8 	0.690973  1  3303.92  2530
proton 	938.272 	6.19806  1  3303.92  2531
Cl35 	32564.6 	0.112597  1  4736.06  394
Na23 	21409.2 	0.144839  1  3143.44  2773
Na23 	21409.2 	0.107913  1  -370.559  7792
proton 	938.272 	26.494  1  4195.39  1186
Si29 	26984.3 	1.69012  1  4195.39  1187
proton 	938.272 	8.34772  1  4195.39  1190
Na23 	21409.2 	0.117711  1  75.0971  7222
Cl35 	32564.6 	0.39642  1  -4690.98  14025
S34 	31632.7 	0.323158  1  -1750.42  9979
Cl35 	32564.6 	0.132665  1  -150.457  7570
Cl35 	32564.6 	0.076787  1  3720.28  1887
Na23 	21409.2 	0.17852  1  -1132.74  8947
proton 	938.272 	43.4711  1  4818.33  262
proton 	938.272 	7.99853  1  4818.33  264
proton 	938.272 	7.59955  1  4818.33  265
Si28 	26053.2 	2.20559  1  4818.33  270
Cl35 	32564.6 	0.0929843  1  1310.86  5410
Cl35 	32564.6 	0.194596  1  4795.93  302
Cl35 	32564.6 	0.290464  1  -4450.07  13855
Cl37 	34424.8 	0.0697467  1  1168.21  5600
Cl35 	32564.6 	0.0699082  1  1912.91  4522
Cl35 	32564.6 	0.147954  1  -4022.54  13170
Na23 	21409.2 	0.113696  1  -1233.9  9145
Na23 	21409.2 	0.115385  1  -479.315  7985
Cl37 	34424.8 	0.0639044  1  906.177  5918
proton 	938.272 	12.8033  1  -3374.42  12306
Al27 	25126.5 	1.15607  1  -3374.42  12307
alpha 	3727.38 	11.8299  1  -3374.42  12308
proton 	938.272 	4.72585  1  -3374.42  12309
Cl35 	32564.6 	0.118041  1  -4424.53  13767
Cl37 	34424.8 	0.130402  1  3913.99  1563
Cl35 	32564.6 	0.629554  1  404.133  6670
Na23 	21409.2 	0.309722  1  -4570.66  13941
Cl35 	32564.6 	0.173066  1  4786.53  335
proton 	938.272 	22.3307  1  3817.52  1667
proton 	938.272 	7.27775  1  3817.52  1670
proton 	938.272 	6.99111  1  3817.52  1671
proton 	938.272 	2.66229  1  3817.52  1674
Al27 	25126.5 	1.85495  1  3817.52  1678
Cl37 	34424.8 	0.0831543  1  4289.12  1037
Cl35 	32564.6 	0.253739  1  334.033  6807
Na23 	21409.2 	0.159999  1  -2267.54  10553
Na23 	21409.2 	0.112239  1  -2740.86  11305
Cl35 	32564.6 	0.176303  1  1641.26  4940
Cl35 	32564.6 	0.0697469  1  1031.41  5697
Na23 	21409.2 	0.123609  1  -4455.48  13776
Na23 	21409.2 	0.138433  1  -810.398  8485
Na23 	21409.2 	0.430661  1  -3899.34  13115
Na23 	21409.2 	0.332149  1  -1319.87  9216
Cl35 	32564.6 	0.146829  1  -4876.47  14351
Cl35 	32564.6 	0.0700424  1  3330.73  2527
Na23 	21409.2 	0.12071  1  1017.17  5928
Na23 	21409.2 	0.116885  1  -3664.88  12766
Cl35 	32564.6 	0.0753466  1  674.834  6435
Na23 	21409.2 	0.171207  1  -106.267  7402
Na23 	21409.2 	0.582586  1  2444.16  3718
Cl37 	34424.8 	0.0803201  1  495.467  6669
Cl37 	34424.8 	0.0689798  1  -4167.94  13559
Cl35 	32564.6 	0.17089  1  -3880.99  13099
proton 	938.272 	6.61277  1  -214.709  7623
S32 	29773.6 	2.00361  1  -214.709  7628
Na23 	21409.2 	0.224731  1  -1523.12  9536
Cl37 	34424.8 	0.0895491  1  -84.7286  7514
Cl35 	32564.6 	0.211934  1  -2565.52  11183
Cl37 	34424.8 	0.105132  1  -962.098  8958
Cl37 	34424.8 	0.138761  1  2785.51  3169
Cl37 	34424.8 	0.0859478  1  -4244.09  13489
Cl35 	32564.6 	0.253849  1  -2575.46  11219
Cl35 	32564.6 	0.084853  1  32.8438  7344
Cl35 	32564.6 	0.13762  1  -2929.43  11542
Cl35 	32564.6 	0.070069  1  2673.48  3447
Na23 	21409.2 	0.39353  1  -4757.83  14348
Cl35 	32564.6 	0.0691767  1  -2087.97  10420
Cl37 	34424.8 	0.100631  1  2155.56  4134
Na23 	21409.2 	0.416234  1  -989.911  8739
Cl35 	32564.6 	0.110278  1  1784.71  4625
Cl35 	32564.6 	0.231252  1  3973.43  1471
Na23 	21409.2 	0.945769  1  627.991  6326
Cl35 	32564.6 	0.101826  1  1933.59  4417
Na23 	21409.2 	0.153058  1  3.89764  7361
proton 	938.272 	147.565  1  4638.43  515
Ne21 	19550.5 	0.778522  1  4638.43  519
Cl35 	32564.6 	0.0800393  1  1657.29  4867
Na23 	21409.2 	0.183773  1  1093.38  5721
Cl35 	32564.6 	0.206394  1  4440.38  843
Na23 	21409.2 	0.156481  1  -417.651  7919
proton 	938.272 	1298.53  1  -3375.34  12164
S34 	31632.7 	0.115915  1  -3375.34  12171
Na23 	21409.2 	0.430802  1  4893.01  162
Na23 	21409.2 	0.242685  1  406.272  6775
Na23 	21409.2 	0.139942  1  -393.239  8061
Cl35 	32564.6 	0.285971  1  4368.04  906
Na23 	21409.2 	0.11954  1  -1332.07  9178
proton 	938.272 	4032.88  1  2514.56  3602
proton 	938.272 	93.3969  1  2514.56  3606
proton 	938.272 	79.2236  1  2514.56  3607
proton 	938.272 	42.2497  1  2514.56  3608
proton 	938.272 	27.3639  1  2514.56  3609
proton 	938.272 	21.4174  1  2514.56  3610
proton 	938.272 	3.15417  1  2514.56  3613
Ne22 	20479.7 	0.943376  1  2514.56  3618
Na23 	21409.2 	0.13048  1  3044.37  2869
proton 	938.272 	6.40324  1  -1478.7  9542
proton 	938.272 	3.68927  1  -1478.7  9544
proton 	938.272 	2.38841  1  -1478.7  9546
Si30 	27913.2 	1.30734  1  -1478.7  9548
Cl35 	32564.6 	0.0834669  1  -2329.29  10557
Cl35 	32564.6 	0.0890487  1  2266.12  3994
Na23 	21409.2 	0.413036  1  1428.7  5311
Cl35 	32564.6 	0.124907  1  104.589  7103
Na23 	21409.2 	0.13252  1  2872.03  3087
Na23 	21409.2 	0.252143  1  1671.97  4840
Cl35 	32564.6 	0.611162  1  538.103  6522
proton 	938.272 	2.99998  1  4222.18  1147
proton 	938.272 	1.36408  1  4222.18  1149
O16 	14895.1 	2.49536  1  4222.18  1152
Na23 	21409.2 	0.177253  1  1574.92  5180
Cl35 	32564.6 	0.120599  1  -4940.65  14664
Na23 	21409.2 	0.147128  1  2028.8  4294
Na23 	21409.2 	0.15287  1  -1861.7  9934
Cl35 	32564.6 	0.0882996  1  -3059.68  11749
Cl35 	32564.6 	0.0978702  1  3590.81  2084
Cl35 	32564.6 	0.1072  1  -2278.29  10665
proton 	938.272 	5.55653  1  -4632.88  13861
proton 	938.272 	4.24687  1  -4632.88  13863
S33 	30704.6 	1.82371  1  -4632.88  13868
Cl35 	32564.6 	0.0789223  1  -2423.86  10893
Cl35 	32564.6 	0.0816705  1  254.264  7061
Cl35 	32564.6 	0.756425  1  -3423.32  12586
Cl35 	32564.6 	0.066841  1  -85.3339  7401
proton 	938.272 	59.9957  1  1078  5500
proton 	938.272 	39.397  1  1078  5501
proton 	938.272 	11.1672  1  1078  5505
proton 	938.272 	4.82924  1  1078  5507
proton 	938.272 	3.51529  1  1078  5508
proton 	938.272 	1.9227  1  1078  5511
Ne20 	18617.7 	11.0213  1  1078  5514
Na23 	21409.2 	0.11847  1  275.542  6725
Cl35 	32564.6 	0.0862473  1  -3558.04  12410
proton 	938.272 	8.77142  1  -3643.33  12521
S34 	31632.7 	0.585141  1  -3643.33  12527
Cl35 	32564.6 	0.0940911  1  195.698  7073
Cl37 	34424.8 	0.0986009  1  -3224.12  12003
proton 	938.272 	507.419  1  -571.249  8186
Ne20 	18617.7 	0.347379  1  -571.249  8189
Na23 	21409.2 	0.105644  1  -2369.66  10740
proton 	938.272 	121.786  1  3329.41  2442
proton 	938.272 	361.566  1  3329.41  2446
alpha 	3727.38 	92.4349  1  3329.41  2451
proton 	938.272 	31.8789  1  3329.41  2455
proton 	938.272 	4.78073  1  3329.41  2457
proton 	938.272 	37.7837  1  3329.41  2459
proton 	938.272 	42.9437  1  3329.41  2461
proton 	938.272 	51.8144  1  3329.41  2467
He3 	2808.39 	15.9494  1  3329.41  2468
proton 	938.272 	272.236  1  1646  4946
proton 	938.272 	2023.99  1  1646  4951
proton 	938.272 	183.434  1  1646  4959
proton 	938.272 	1858.97  1  1646  4967
proton 	938.272 	24.0303  1  1646  4976
C13 	12109.5 	3.13696  1  1646  4978
proton 	938.272 	11.2594  1  1646  4979
proton 	938.272 	7.05618  1  1646  4980
proton 	938.272 	12.3778  1  1646  4981
alpha 	3727.38 	5.16287  1  1646  4987
proton 	938.272 	247.366  1  -3326.48  12060
proton 	938.272 	186.682  1  -3326.48  12062
F19 	17692.3 	2.50208  1  -3326.48  12067
Na23 	21409.2 	0.161809  1  -4968.56  14479
Cl35 	32564.6 	0.179142  1  4377.67  883
Cl35 	32564.6 	0.0986133  1  3067.18  2772
proton 	938.272 	91.5559  1  4212.17  1154
proton 	938.272 	57.7155  1  4212.17  1155
S32 	29773.6 	0.382969  1  4212.17  1159
Na23 	21409.2 	0.272158  1  2366.33  3806
Cl37 	34424.8 	0.27971  1  -4506.15  13748
Cl35 	32564.6 	0.0884551  1  -1545.86  9581
Cl37 	34424.8 	0.0672995  1  3934.78  1518
proton 	938.272 	90.1921  1  -3949.57  12981
Na22 	20482.1 	0.129976  1  -3949.57  12985
alpha 	3727.38 	7.13147  1  1162.6  5814
alpha 	3727.38 	2.14828  1  1162.6  5815
C12 	11174.9 	7.6686  1  1162.6  5816
Na23 	21409.2 	0.389722  1  2296.62  3921
Cl37 	34424.8 	0.10235  1  -4230.98  13631
Cl35 	32564.6 	0.212762  1  4209.32  1181
Na23 	21409.2 	0.11083  1  3981.82  1529
proton 	938.272 	562.589  1  1926.94  4478
Ne21 	19550.5 	1.69666  1  1926.94  4482
Cl35 	32564.6 	0.111567  1  -559.708  8160
Cl35 	32564.6 	0.125985  1  1753.4  4852
Cl37 	34424.8 	0.274787  1  4945.91  84
Cl35 	32564.6 	0.091864  1  -1451.89  9500
proton 	938.272 	308.984  1  4441.75  837
Ne21 	19550.5 	1.0868  1  4441.75  842
Na23 	21409.2 	0.162385  1  4329.2  979
Cl35 	32564.6 	0.136611  1  -556.707  8148
Na23 	21409.2 	0.120066  1  3712.03  1923
Cl35 	32564.6 	0.0806365  1  -3011.66  11747
Cl35 	32564.6 	0.138616  1  1307.01  5329
Cl35 	32564.6 	0.0847854  1  301.316  6909
Cl35 	32564.6 	0.0673556  1  3103.56  2718
Na23 	21409.2 	0.172569  1  500.92  6376
Na23 	21409.2 	0.155653  1  -2161.21  10203
Na23 	21409.2 	0.141201  1  2546.89  3572
Na23 	21409.2 	0.390456  1  3849.85  1639
Na23 	21409.2 	0.340229  1  2979.56  2945
Na23 	21409.2 	0.165566  1  4907.55  133
Cl35 	32564.6 	0.0745916  1  4210.22  1184
Na23 	21409.2 	0.318273  1  -2449.31  10812
Cl35 	32564.6 	0.0745554  1  1433.86  5081
Na23 	21409.2 	0.103073  1  -1389.16  9302
Na23 	21409.2 	0.103834  1  -1266.54  9126
Na23 	21409.2 	0.186476  1  -4249.56  13583
Cl35 	32564.6 	0.103451  1  3937.13  1573
Cl37 	34424.8 	0.0701595  1  -451.89  8037
Cl35 	32564.6 	0.0738333  1  1629.61  4918
Na23 	21409.2 	0.10654  1  2281.01  3949
Na23 	21409.2 	0.15364  1  3247  2457
Na23 	21409.2 	0.112009  1  -3939.01  13087
